,IVV
2015-03-04,184.01056481
2015-03-05,184.2017807387
2015-03-06,181.6377489679
2015-03-09,182.3939210495
2015-03-10,179.4139077175
2015-03-11,179.0302590316
2015-03-12,181.2640087437
2015-03-13,180.1514797042
2015-03-16,182.64597841
2015-03-17,182.0288724584
2015-03-18,184.1757058393
2015-03-19,183.3847672253
2015-03-20,185.0014109859
2015-03-23,184.6972038266
2015-03-24,183.5412166215
2015-03-25,180.9526031739
2015-03-26,180.5071867561
2015-03-27,180.8740002767
2015-03-30,183.0748814003
2015-03-31,181.5115571101
2015-04-01,180.9438695187
2015-04-02,181.4504215233
2015-04-06,182.7779371217
2015-04-07,182.236450496
2015-04-08,182.89147464
2015-04-09,183.6949709232
2015-04-10,184.6556730009
2015-04-13,183.8085084415
2015-04-14,184.1316536858
2015-04-15,185.0748884531
2015-04-16,184.9875519005
2015-04-17,182.8478063637
2015-04-20,184.5246681722
2015-04-21,184.3325277566
2015-04-22,185.2233605923
2015-04-23,185.6862443207
2015-04-24,186.0967261176
2015-04-27,185.3630990764
2015-04-28,185.869651081
2015-04-29,185.1447576951
2015-04-30,183.2757554711
2015-05-01,185.2582952134
2015-05-04,185.8521837705
2015-05-05,183.7037045784
2015-05-06,182.9438765715
2015-05-07,183.6600363022
2015-05-08,186.0530578413
2015-05-11,185.1534913503
2015-05-12,184.5858037589
2015-05-13,184.6556730009
2015-05-14,186.629479088
2015-05-15,186.8216195035
2015-05-18,187.3718397844
2015-05-19,187.3369051634
2015-05-20,187.1534984031
2015-05-21,187.6949850288
2015-05-22,187.3019705424
2015-05-26,185.2670288686
2015-05-27,187.0399608848
2015-05-28,186.7954185378
2015-05-29,185.660043355
2015-06-01,185.9831885993
2015-06-02,185.83471646
2015-06-03,186.3587357752
2015-06-04,184.8565470717
2015-06-05,184.4460652749
2015-06-08,183.3106900921
2015-06-09,183.2495545053
2015-06-10,185.4242346631
2015-06-11,186.0530578413
2015-06-12,184.6382056904
2015-06-15,183.8696440282
2015-06-16,184.8914816928
2015-06-17,185.1447576951
2015-06-18,187.0050262638
2015-06-19,185.8958520468
2015-06-22,187.2233676451
2015-06-23,187.3107041977
2015-06-24,185.9926654886
2015-06-25,185.4042478577
2015-06-26,185.4569419739
2015-06-29,181.5575773749
2015-06-30,181.9879126572
2015-07-01,183.4106537947
2015-07-02,183.1910949772
2015-07-06,182.7080655787
2015-07-07,183.8322067243
2015-07-08,180.7320362211
2015-07-09,181.056983271
2015-07-10,183.3667420312
2015-07-13,185.3866831523
2015-07-14,186.1595301899
2015-07-15,186.0892713683
2015-07-16,187.5471419166
2015-07-17,187.7491360287
2015-07-20,187.8193948503
2015-07-21,187.0904595762
2015-07-22,186.7303831154
2015-07-23,185.7204125549
2015-07-24,183.7707302554
2015-07-27,182.6641538152
2015-07-28,184.9387831646
2015-07-29,186.1770948953
2015-07-30,186.2385713642
2015-07-31,185.9751007832
2015-08-03,185.3427713888
2015-08-04,184.95634787
2015-08-05,185.658936086
2015-08-06,184.1571537742
2015-08-07,183.7092537865
2015-08-10,186.0365772521
2015-08-11,184.3591478863
2015-08-12,184.5347949404
2015-08-13,184.3503655336
2015-08-14,184.9826949281
2015-08-17,186.0717066629
2015-08-18,185.5447655009
2015-08-19,184.0517655418
2015-08-20,180.1436185902
2015-08-21,174.6019540362
2015-08-24,167.3213836476
2015-08-25,165.3541366427
