,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2018-03-09,46.3898036803,55.1457521433,25.841753759,44.229212875,73.0208620924,172.931481083,57.8117579422,31.1870581798,113.4092352306,96.728940191,66.8546903521
2018-03-12,46.5060931401,55.4071904219,25.5623347263,44.4576369182,72.3194724735,172.2143928812,57.723531163,31.2036957142,113.5741008608,96.580240821,67.191222109
2018-03-13,46.1790290344,55.5224005107,25.4091049343,43.850126165,71.9950201328,172.4031003028,57.2591796936,30.9874077674,113.2993248104,96.0412056047,67.2974952954
2018-03-14,45.9973267534,56.0452770678,25.4361454858,43.850126165,71.4081431047,171.5067400505,56.7576801067,30.8043948893,112.2002206085,94.6750301427,67.3506318887
2018-03-15,45.953718206,55.9832408661,25.1567264532,43.8622763801,71.5369697694,171.2331142893,56.7808976801,30.6380195456,111.5682356924,93.3646169445,67.3329196909
2018-03-16,45.9416047206,56.5459978386,25.6885239669,43.7918051327,71.775537667,171.2708557736,56.9666382679,30.9208576299,111.5682356924,93.550491157,67.73144414
2018-03-19,45.3238169653,56.2047987293,25.3189697624,42.8440883577,71.1266329856,168.4779859351,56.5022867985,30.4134128316,110.5973603141,92.1657282738,67.1026611204
2018-03-20,45.5636639762,55.9212046644,25.2919292109,42.7906274114,71.4510853263,168.8176592938,56.646235754,30.6796133815,110.1851962384,91.9612666401,67.0495245272
2018-03-21,45.4497972134,55.7173714303,25.2378481078,42.5889338414,71.5989974228,168.3270199979,56.5162173426,31.5198088673,109.3975048937,93.1415678895,66.5358707928
2018-03-22,44.5822574925,55.9329055783,24.7522863318,41.4680252278,69.2366489559,163.3899762354,54.8464419631,30.8788320499,107.8094019051,90.1760721527,66.1534777279
2018-03-23,43.7057628321,55.1826078989,24.2799491248,40.3477943373,68.0593339879,160.0307684075,53.3739291628,30.702812649,106.2626914422,88.2084246631,65.0997371269
2018-03-26,44.9270282454,55.7587293313,24.7250361084,41.9964819741,69.7104464431,163.4467515789,54.8977003201,31.2476346043,107.9567076634,89.8683358155,65.9212975955
2018-03-27,44.0651013632,56.540289414,24.3980334265,40.4914761254,68.6288481391,161.3933766532,53.9797097452,30.9207414311,107.5700300477,88.9451268038,66.0998976973
2018-03-28,43.6936230168,56.6162123935,24.2345320856,40.087218891,68.3369123137,162.2071565777,54.2546409326,30.3507738471,108.2605257901,87.8167602339,67.3768884256
2018-03-29,44.2666222962,56.9199043114,24.5433679518,40.9639213271,69.4089389513,163.3332008918,54.8977003201,30.987796441,109.4757982966,89.5979008525,67.3947484358
2018-04-02,42.9652341024,56.3795113399,24.0801141526,39.9191842574,67.9014014921,159.1602131394,53.7839960186,30.3340100947,106.7782615965,87.6582293936,66.4660279061
2018-04-03,43.4362589337,56.6430087392,24.2345320856,40.33318263,68.8537822996,161.7908040582,54.4317152567,30.9794145648,108.5827571365,88.8611987118,66.9035981557
2018-04-04,44.1355122916,56.7457280644,24.5615347675,40.9517449044,69.1744331243,164.0618178009,54.9955571834,30.9458870598,110.5529716546,89.2994898588,67.6537185835
2018-04-05,44.655096384,57.2191301716,24.7613697397,41.0540268552,69.873164772,164.0428926864,55.3264065785,31.5326183963,111.3539467158,91.3976921581,67.7162286191
2018-04-06,43.749466167,56.7591262372,24.4071168344,40.0774777528,67.9253306582,159.8604423768,54.1195052642,30.9207414311,109.8624759123,89.1596097055,67.1089882728
2018-04-09,43.6450637559,56.8618455624,24.4343670579,40.3697118982,67.9061873253,161.5258524548,54.2779401858,31.0632333271,109.7243767638,89.7284556622,66.9928982066
2018-04-10,44.0578174741,56.4911627803,25.061122198,41.392531407,69.1122172926,164.3646196333,54.9442988265,32.1025859803,110.6358311437,91.8826100228,66.7339280589
2018-04-11,43.904855802,56.4286379737,25.0338719745,41.2512849034,68.7102073035,162.8979232578,54.4829736137,32.4630066584,110.2675667478,91.0433291031,66.8857381455
2018-04-12,44.1330843286,55.7230008704,25.1792064998,41.7894827878,69.5094414485,164.1848310453,55.1120534493,32.4462429059,110.1478808191,92.2276477343,66.2517077839
